,CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count,Income_Class
64,10420,"Akron, OH Metro","Income $175,000 - $199,999",1 Member HH,636,Upper
65,10420,"Akron, OH Metro","Income $200,000 - $249,999",1 Member HH,1028,Upper
66,10420,"Akron, OH Metro","Income $25,000 - $34,999",1 Member HH,11688,Middle
67,10420,"Akron, OH Metro","Income $250,000+",1 Member HH,1511,Upper
68,10420,"Akron, OH Metro","Income $35,000 - $49,999",1 Member HH,13866,Middle
69,10420,"Akron, OH Metro","Income $50,000 - $74,999",1 Member HH,12601,Middle
70,10420,"Akron, OH Metro","Income $75,000 - $99,999",1 Member HH,5084,Upper
71,10420,"Akron, OH Metro","Income <$15,000",1 Member HH,18032,Lower
72,10420,"Akron, OH Metro","Income $100,000 - $124,999",2 Member HH,6929,Upper
73,10420,"Akron, OH Metro","Income $125,000 - $149,999",2 Member HH,3624,Upper
74,10420,"Akron, OH Metro","Income $15,000 - $24,999",2 Member HH,8676,Lower
75,10420,"Akron, OH Metro","Income $150,000 - $174,999",2 Member HH,2659,Upper
76,10420,"Akron, OH Metro","Income $175,000 - $199,999",2 Member HH,1374,Upper
77,10420,"Akron, OH Metro","Income $200,000 - $249,999",2 Member HH,1212,Upper
78,10420,"Akron, OH Metro","Income $25,000 - $34,999",2 Member HH,8782,Lower
79,10420,"Akron, OH Metro","Income $250,000+",2 Member HH,2005,Upper
80,10420,"Akron, OH Metro","Income $35,000 - $49,999",2 Member HH,14366,Middle
81,10420,"Akron, OH Metro","Income $50,000 - $74,999",2 Member HH,17486,Middle
82,10420,"Akron, OH Metro","Income $75,000 - $99,999",2 Member HH,9599,Middle
83,10420,"Akron, OH Metro","Income <$15,000",2 Member HH,10476,Lower
84,10420,"Akron, OH Metro","Income $100,000 - $124,999",3 Member HH,3617,Middle
85,10420,"Akron, OH Metro","Income $125,000 - $149,999",3 Member HH,1676,Upper
86,10420,"Akron, OH Metro","Income $15,000 - $24,999",3 Member HH,3108,Lower
87,10420,"Akron, OH Metro","Income $150,000 - $174,999",3 Member HH,1082,Upper
88,10420,"Akron, OH Metro","Income $175,000 - $199,999",3 Member HH,706,Upper
89,10420,"Akron, OH Metro","Income $200,000 - $249,999",3 Member HH,638,Upper
90,10420,"Akron, OH Metro","Income $25,000 - $34,999",3 Member HH,3471,Lower
91,10420,"Akron, OH Metro","Income $250,000+",3 Member HH,911,Upper
92,10420,"Akron, OH Metro","Income $35,000 - $49,999",3 Member HH,4976,Middle
93,10420,"Akron, OH Metro","Income $50,000 - $74,999",3 Member HH,9017,Middle
94,10420,"Akron, OH Metro","Income $75,000 - $99,999",3 Member HH,6317,Middle
95,10420,"Akron, OH Metro","Income <$15,000",3 Member HH,2528,Lower
96,10420,"Akron, OH Metro","Income $100,000 - $124,999",4 Member HH,2827,Middle
97,10420,"Akron, OH Metro","Income $125,000 - $149,999",4 Member HH,1681,Middle
98,10420,"Akron, OH Metro","Income $15,000 - $24,999",4 Member HH,1874,Lower
99,10420,"Akron, OH Metro","Income $150,000 - $174,999",4 Member HH,768,Upper
100,10420,"Akron, OH Metro","Income $175,000 - $199,999",4 Member HH,530,Upper
101,10420,"Akron, OH Metro","Income $200,000 - $249,999",4 Member HH,547,Upper
102,10420,"Akron, OH Metro","Income $25,000 - $34,999",4 Member HH,1879,Lower
103,10420,"Akron, OH Metro","Income $250,000+",4 Member HH,705,Upper
104,10420,"Akron, OH Metro","Income $35,000 - $49,999",4 Member HH,2380,Lower
105,10420,"Akron, OH Metro","Income $50,000 - $74,999",4 Member HH,5980,Middle
106,10420,"Akron, OH Metro","Income $75,000 - $99,999",4 Member HH,5382,Middle
107,10420,"Akron, OH Metro","Income <$15,000",4 Member HH,1411,Lower
108,10420,"Akron, OH Metro","Income $100,000 - $124,999",5+ Member HH,5484,Middle
109,10420,"Akron, OH Metro","Income $125,000 - $149,999",5+ Member HH,4041,Middle
110,10420,"Akron, OH Metro","Income $15,000 - $24,999",5+ Member HH,2533,Lower
111,10420,"Akron, OH Metro","Income $150,000 - $174,999",5+ Member HH,1390,Upper
