CBSAMET_KEY,CBSAMET_NAME,INCOME,SIZE1,Count
10420,"Akron, OH Metro","Income $150,000 - $174,999",1 Member HH,2503
10420,"Akron, OH Metro","Income $150,000 - $174,999",2 Member HH,2659
10420,"Akron, OH Metro","Income $150,000 - $174,999",3 Member HH,1082
10420,"Akron, OH Metro","Income $150,000 - $174,999",4 Member HH,768
10420,"Akron, OH Metro","Income $150,000 - $174,999",5+ Member HH,1390
10420,"Akron, OH Metro","Income $175,000 - $199,999",1 Member HH,636
10420,"Akron, OH Metro","Income $175,000 - $199,999",2 Member HH,1374
10420,"Akron, OH Metro","Income $175,000 - $199,999",3 Member HH,706
10420,"Akron, OH Metro","Income $175,000 - $199,999",4 Member HH,530
10420,"Akron, OH Metro","Income $175,000 - $199,999",5+ Member HH,990
10420,"Akron, OH Metro","Income $200,000 - $249,999",1 Member HH,1028
10420,"Akron, OH Metro","Income $200,000 - $249,999",2 Member HH,1212
10420,"Akron, OH Metro","Income $200,000 - $249,999",3 Member HH,638
10420,"Akron, OH Metro","Income $200,000 - $249,999",4 Member HH,547
10420,"Akron, OH Metro","Income $200,000 - $249,999",5+ Member HH,1042
10420,"Akron, OH Metro","Income $25,000 - $34,999",1 Member HH,11688
10420,"Akron, OH Metro","Income $25,000 - $34,999",2 Member HH,8782
10420,"Akron, OH Metro","Income $25,000 - $34,999",3 Member HH,3471
10420,"Akron, OH Metro","Income $25,000 - $34,999",4 Member HH,1879
10420,"Akron, OH Metro","Income $25,000 - $34,999",5+ Member HH,2688
10420,"Akron, OH Metro","Income $250,000+",1 Member HH,1511
10420,"Akron, OH Metro","Income $250,000+",2 Member HH,2005
10420,"Akron, OH Metro","Income $250,000+",3 Member HH,911
10420,"Akron, OH Metro","Income $250,000+",4 Member HH,705
10420,"Akron, OH Metro","Income $250,000+",5+ Member HH,1367
10420,"Akron, OH Metro","Income $35,000 - $49,999",1 Member HH,13866
10420,"Akron, OH Metro","Income $35,000 - $49,999",2 Member HH,14366
10420,"Akron, OH Metro","Income $35,000 - $49,999",3 Member HH,4976
10420,"Akron, OH Metro","Income $35,000 - $49,999",4 Member HH,2380
10420,"Akron, OH Metro","Income $35,000 - $49,999",5+ Member HH,2825
10420,"Akron, OH Metro","Income $50,000 - $74,999",1 Member HH,12601
10420,"Akron, OH Metro","Income $50,000 - $74,999",2 Member HH,17486
10420,"Akron, OH Metro","Income $50,000 - $74,999",3 Member HH,9017
10420,"Akron, OH Metro","Income $50,000 - $74,999",4 Member HH,5980
10420,"Akron, OH Metro","Income $50,000 - $74,999",5+ Member HH,9657
10420,"Akron, OH Metro","Income $75,000 - $99,999",1 Member HH,5084
10420,"Akron, OH Metro","Income $75,000 - $99,999",2 Member HH,9599
10420,"Akron, OH Metro","Income $75,000 - $99,999",3 Member HH,6317
10420,"Akron, OH Metro","Income $75,000 - $99,999",4 Member HH,5382
10420,"Akron, OH Metro","Income $75,000 - $99,999",5+ Member HH,10667
10420,"Akron, OH Metro","Income <$15,000",1 Member HH,18032
10420,"Akron, OH Metro","Income <$15,000",2 Member HH,10476
10420,"Akron, OH Metro","Income <$15,000",3 Member HH,2528
10420,"Akron, OH Metro","Income <$15,000",4 Member HH,1411
10420,"Akron, OH Metro","Income <$15,000",5+ Member HH,1993
10500,"Albany, GA Metro","Income $100,000 - $124,999",1 Member HH,872
10500,"Albany, GA Metro","Income $100,000 - $124,999",2 Member HH,1406
